繪圖紅樓夢卷一 ||| Họa đồ Hồng Lâu Mộng, quyển thứ nhất.
__妹妹住_過這_____幾日倒安穩鳳姐笑說不_用那邊也_離不得我倒是天天來的好賈珍____道也罷了然後又說了一回閒話方繕出去一時女畚 ||| Nương tử ở đây mấy ngày qua cũng coi như an ổn. Phượng Thư cười nói không cần đến chỗ kia, cũng không thể rời ta, ta ngược lại muốn ngày ngày đến đây mới tốt. Giả Trân nói cũng được rồi lại nói thêm vài câu chuyện phiếm rồi mới lui ra. Chốc lát sau, nữ tỳ...
____散_後王夫人因問鳳姐你今_兒怎_麽樣鳳姐_道太太只管請回去我須得先理出一個頭結來_繪回_得去呢王夫人_聽說便先同邢夫人_回_____ ||| Sau khi tan tiệc, Vương phu nhân hỏi Phượng Thư: "Hôm nay con thấy thế nào?". Phượng Thư đáp: "Thưa mẹ, xin cứ về nghỉ ngơi, con phải giải quyết xong mọi việc rồi mới về được.". Vương phu nhân nghe vậy, liền cùng Hình phu nhân trở về.
去不在話下這_裏鳳姐_來至三間一所抱厦_中坐了因想頭二件是人口混雜遺失東西_二件事無事_管臨期推__諉三件需用過費濫支国_________________________________ ||| Lúc này, Phượng Thư đang ở trong gian nhà ba gian có hiên, ngồi đó suy nghĩ hai việc. Một là, người trong phủ đông đúc, sợ thất lạc đồ đạc. Hai là, các công việc đến kỳ thì lại bị trì hoãn, đùn đẩy. Ba là, chi tiêu quá mức, lạm dụng tiền công quỹ.
領四件任無大小苦樂不均五件家人豪縱有臉者不服鈐束無臉者不能上進此五件實是__甯府中風俗不知鳳姐如何處治且_看下回__ ||| Nay xét trong phủ, việc cai quản bốn bề, kẻ có quyền thế thì ngang tàng phóng túng, người không có địa vị thì khó bề tiến thân, thật là một mối tệ nạn. Không biết Phượng Thư sẽ liệu bề xử trí ra sao, xin hãy xem hồi sau phân giải.
第十四囘林如海___靈返蘇州_郡賈寶玉路謁北靜王__________________________________________________________________ ||| Hồi thứ mười bốn: Lâm Như Hải hồn lìa cõi thế, Giả Bảo Ngọc bái kiến Bắc Tĩnh Vương.
了賴陞媳婦幾句話便坐車回家至次日卯正二刻便過來了那甯國府中老婆媳婦早巳到齊只見鳳姐和賴陞媳婦分派衆人執事不 ||| Sau khi bà vợ của Lại Thăng nói vài câu, liền lên xe về nhà. Đến sáng ngày hôm sau, vào giờ Mão, bà ta đã đến. Các bà vợ và con dâu trong phủ Ninh Quốc đã tề tựu đông đủ. Chỉ thấy Phượng Thư và vợ Lại Thăng đang phân công mọi người làm việc.
花名册按名一個一個叫進來看視一時看完_又吩咐道這二十個分作兩班一班十個每日在__内單管__親友來往倒茶別的事不用__管道 ||| Xem sổ sách điểm danh từng người vào xem, xem xong một lượt, lại dặn dò: Hai mươi người này chia làm hai ban, mỗi ban mười người, mỗi ngày ở trong phủ chuyên lo việc tiếp đón thân thích bạn bè đến thăm, rót trà, những việc khác không cần quản.
___________________________________________二十個也分作兩班每日單管本家親戚茶飯___也不___管別的事這四十個人也分作兩班單在靈前上香添油掛幔守靈供飯供茶隨起舉___________ ||| Lại sai hai mươi người chia làm hai ban, mỗi ngày chỉ lo việc trà nước cơm cháo cho họ hàng thân thích trong nhà, không được quản việc khác. Bốn mươi người này cũng chia làm hai ban, chỉ lo việc thắp hương, thêm dầu, treo trướng, giữ linh, cúng cơm, cúng trà, tùy theo thời khắc.
哀也不管别的事這四個人_專在内茶房收管杯碟茶器_要少了一件___四人分賠這四個_人單管酒飯器皿少一件也是分賠這八個人單 ||| Chỉ thấy xa xa có tiếng cười, chừng vài chục người đàn bà, quần áo sột soạt, lên thềm đi vào nhà. Lại thấy hai ba người đàn bà cầm hộp sơn đỏ đứng đấy chờ.
管收祭禮這八個人單管各處燈油_蠟燭紙_劄我一總支了來交_給你們八個人然_後按我的_數_兒往各處_分派追二十個每日輪流各處 ||| Nay giao cho tám người các ngươi trông coi việc cúng tế, mỗi người quản lý riêng đèn dầu, nến sáp, giấy tiền. Các ngươi hãy tập hợp lại rồi giao cho ta, sau đó ta sẽ phân phát theo số lượng đã định. Ngoài ra, mỗi ngày phải có hai mươi người thay phiên nhau đi tuần tra các nơi.
上夜照管門戶監察火燭打掃地方追下剩的按_房_分開某人守某處某處所有桌椅古_玩起至_於痰盒颦_子等物一草一苗或丢或_壞就__________ ||| Đêm đến, người hầu phải trông coi cửa ngõ, canh chừng lửa đèn, quét dọn nơi ăn chốn ở, thu xếp đồ đạc còn thừa, chia phòng cho từng người, ai giữ chỗ nào, chỗ đó có những bàn ghế, đồ cổ, đến cả những cái ống nhổ, đồ đựng rác, hễ một cọng cỏ, một cái cây mà bị mất hay hư hỏng thì phải chịu trách nhiệm.
__問這看守的賠補賴陞家的每日攬總查看或有偷懶的賭錢吃酒_打架拌嘴的立刻拿了來回我你_要徇情_叫我查出來三西輩子的老______ ||| Hãy hỏi bọn người coi sóc, mỗi ngày phải để ý xem xét bọn chúng có ai lười biếng, cờ bạc, rượu chè, đánh nhau, cãi cọ thì lập tức bắt lại báo cho ta biết. Các ngươi chớ có dung túng, nếu để ta phát hiện ra thì dù có là người già cả ba bốn đời cũng không xong với ta!
臉就顧不成了如今都有了定規以_後那一行亂了只和那一行__算賬素日跟我的人隨身_俱有鐘表不論大小事__皆有一定的時_刻横豎 ||| Nay đã có quy củ nhất định, sau này ai làm sai việc của người đó thì người đó phải chịu trách nhiệm. Những người theo hầu hạ ta đều có đồng hồ bên mình, bất kể việc lớn nhỏ đều có giờ giấc nhất định.
__你們上房_裏也有時辰鐘卯正二刻我來點卯已正吃早飯凡有領牌回事_只在午初二刻戌初燒過黄昏紙我親到各處查一遍国來上 ||| Các vị lên phòng trên, giờ Mão đã quá hai khắc, ta sẽ điểm danh. Đến giờ Tỵ thì ăn sáng. Phàm ai có việc lĩnh thẻ thì đến giờ Ngọ hai khắc, giờ Tuất thì đốt giấy hoàng hôn. Ta sẽ đích thân đi kiểm tra một lượt rồi mới lên.
鷄毛押子笤帚等物一面又搬取_像伙桌圍椅搭坐褥氈席痰盒脚踏之類一面交發一面提筆登記某人管某處某人領_物件開_的十分__ ||| Lại nói về phủ Vinh, người không quá đông, tính cả trên dưới cũng chỉ ba bốn trăm, công việc cũng không nhiều, mỗi ngày xử lý vài chục vụ, rối ren như tơ vò, không biết bắt đầu từ đâu. Lại thêm, người ta còn phải thu dọn nào là lông gà, chổi đót, nào là bàn ghế, giường tủ, chiếu chăn, đồ dùng cá nhân, rồi lại còn phải ghi chép, phân phát, thật là bận rộn vô cùng.
繪圖紅樓夢卷一第十四回 ||| Bức họa Hồng Lâu Mộng, quyển một, hồi thứ mười bốn.
給圖紅樓夢卷一第十四回 ||| Thuở trước, nhà anh từng kết giao với họ Vương ở Kim Lăng. Hai mươi năm trước, họ đối đãi với nhà anh cũng rất tử tế. Nay anh lại làm ngơ không đến thăm hỏi, thành ra xa cách.
六六 ||| Lục lục
__________________傅燈照亡參閻君拘都鬼延請地藏王開金橋引幢_旛那道士們正伏章申表朝三清叩玉帝禪僧們行香放_燄口拜水_懺又有十二衆____________________靑 ||| Khi đèn tắt, hồn lìa khỏi xác, Diêm Vương sai quỷ sứ đến bắt, mời Địa Tạng Vương mở cầu vàng, dẫn hồn phách qua sông. Đạo sĩ dâng sớ tấu lên Tam Thanh, bái lạy Ngọc Đế. Thiền sư làm lễ cúng thí, tụng kinh sám hối. Lại có mười hai chúng cùng nhau cầu siêu.
年尼僧搭繡衣级紅鞋在靈前默誦接引諸咒十分熱鬧那鳳姐_知道今日_的客不少________寅正__便_起來杭洗及收拾完備更衣盥手喝了幾口 ||| Khi ấy, các ni cô mặc áo thêu, đi hài đỏ, đang tụng kinh cầu siêu trước linh cữu, khung cảnh vô cùng náo nhiệt. Phượng Thư biết hôm nay khách khứa đông, nên vừa đến giờ Mão đã thức dậy, rửa mặt, chải đầu, thay y phục, rửa tay, súc miệng rồi mới dùng điểm tâm.
奶子漱口巴畢正是卯正二刻了來旺媳婦率領_衆人伺候巳久鳳姐出至廳前上了車前面__一對明角燈__上寫榮國府三個大字__來至__甯 ||| Khi ấy, vừa đúng giờ Mão, bà vú của Lai Vượng dẫn mọi người hầu hạ đã lâu. Phượng Thư bước ra đến trước sảnh, lên xe. Phía trước xe có một đôi đèn lồng lớn, trên đó viết ba chữ lớn 'Vinh Quốc Phủ'. Xe đi đến phủ Ninh.
府大門_首門燈朗掛兩邊一色_綽燈照如白晝白汪注穿孝__家人兩_行侍立請車至正門上小廝退去衆媳婦上來揭起車簾鳳姐下了車 ||| Trước phủ, đèn lồng treo cao hai bên, ánh sáng rực rỡ như ban ngày. Gia nhân đứng thành hai hàng, cung kính chờ xe tới. Khi xe dừng trước cửa chính, tiểu tư lui xuống, các bà vú tiến lên vén rèm. Phượng Thư bước xuống xe.
_____一手扶着__豐兒兩個妲婦執着手把燈_照着簇擁_鳳姐進來甯府諸媳婦迎着請安鳳姐款步入會芳園中登仙閣靈前一見棺材那眼淚 ||| Nàng một tay vịn lấy tay vịn, hai a hoàn dìu hai bên, tay cầm đèn soi đường, đoàn người vây quanh Phượng Thư tiến vào phủ Ninh, các dâu con vội vàng nghênh đón, Phượng Thư bước khoan thai vào vườn Hội Phương, đến trước linh cữu trên gác Trừng Tiên, vừa thấy quan tài, nước mắt nàng đã tuôn rơi.
恰似斷線之珠滾將下來院中_多少小廝垂手侍立伺候燒紙鳳妲吩咐一殷供茶燒紙只聽一棒鋰鳴諸樂齊奏早有人請過一張大圈 ||| Tựa viên ngọc trai đứt dây, lăn xuống sân, bao nhiêu tiểu đồng đứng hầu hạ, kẻ đốt giấy, người dâng trà, Phượng Thư dặn dò chu đáo. Tiếng pháo nổ vang, nhạc trỗi lên, người ta đã trải sẵn một chiếc chiếu lớn.
椅來放在靈前鳳姐坐下放聲大哭於是裏外上下男女都接聲壕哭賈珍尤氏忙令人勸止鳳姐纔止住了哭來旺媳婦倒茶潄口畢方 ||| Ghế được đặt trước linh cữu, Phượng Thư ngồi xuống, khóc lớn tiếng. Mọi người trong ngoài, trên dưới, cả nam lẫn nữ đều khóc theo. Giả Trân và Vưu thị vội vàng sai người khuyên can, Phượng Thư mới nín khóc. Lai Vượng sai người dâng trà súc miệng xong.
起身別了族中諸人自入抱厦來按名查點各項人数_俱已到齊只有迎送親_友上的一人未到卽令傳來那人惶恐鳳姐冷笑道原來是 ||| Sau khi đứng dậy, mọi người trong tộc đều đã cáo từ, chỉ còn lại một mình, liền vào trong sảnh lớn, theo danh sách mà kiểm kê số người, thấy đều đã đến đông đủ, chỉ còn một người phụ trách việc đón tiếp thân thích bạn bè là chưa tới, liền sai người đi gọi. Người kia hốt hoảng chạy đến, Phượng Thư cười lạnh nói: Thì ra là...
你_誤了你比他們有_體面所以_不_聽我的話那人回道__奴才天天都來的早只有今____________兒來遲了一步求奶奶饒過_初次正說着只見榮國府____________ ||| Ngươi lầm rồi, ngươi cho rằng mình có địa vị hơn bọn họ nên không nghe lời ta. Người kia đáp: 'Nô tài ngày nào cũng đến sớm, chỉ hôm nay đến muộn một bước, xin nãi nãi tha cho lần đầu.' Đang nói thì thấy người phủ Vinh Quốc...
上鳳姐令彩明念道大轎兩頂小轎_兩頂車四輛共用大小終子若于根每根用珠_兒線若于斤鳳姐_聽了數目相合便命彩明登記取榮______ ||| Phượng Thư sai người hầu là Thải Minh đọc danh sách, nào là kiệu lớn hai cỗ, kiệu nhỏ hai cỗ, xe bốn chiếc, lại còn bao nhiêu là trâm cài, mỗi trâm lại cần bao nhiêu cân chỉ ngọc. Phượng Thư nghe xong thấy số lượng khớp với sổ sách thì sai Thải Minh ghi vào sổ rồi đi lấy.
發鳳姐便說道明_兒他也__來遲了__後兒我也__來遲了將來都沒有人了本來要饒你只是我頭一次寬了下次就難管別人了不如開發了 ||| Phượng Thư liền nói: "Sao lại không mời người ta lên?" rồi lại nói: "Thôi, cứ để đó đã, ta còn bận việc khác, lát nữa sẽ nói chuyện sau."
坐坐鳳姐_正吃飯見他們來了_笑道好長腿子快上來罷寶玉道我們偏了鳳姐道在道邊外頭吃的還是那邊吃的寶玉道同那些渾人 ||| Khi Phượng Thư đang dùng bữa, thấy họ đến liền cười nói: "Ôi chao, chân dài thế kia, mau lên đây đi!" Bảo Ngọc đáp: "Chúng tôi đi đường vòng." Phượng Thư hỏi: "Ăn ở ngoài đường hay ăn ở đây?" Bảo Ngọc đáp: "Ăn cùng với bọn người kia."
_吃什麽還是那邊_____跟着老太太吃了來的說者一面歸坐鳳姐__飯里就有__甯府__一個媳婦來領牌爲支取香燈_鳳姐笑道我算者你今兒該 ||| Ăn uống gì thì cứ ở bên kia, theo hầu lão thái thái dùng cơm. Người nói vừa rồi hãy cứ ngồi xuống. Phượng Thư vừa ăn cơm vừa nói, trong phủ Ninh có một bà đến xin thẻ để lấy dầu thắp đèn. Phượng Thư cười nói: 'Ta tính hôm nay ngươi phải đến.'
_____來支取想是忘了要終久忘了自然是你_包出來都便宜了我那媳婦笑道何嘗不是忘了方_繼想起來再遲一步也領不成了說_畢領牌__ ||| Nàng nói: “Cháu đến chậm quá, hôm nọ ta đã cho người mượn mất rồi.”
而去一時登記交牌秦鐘因笑道你們兩府_裏都是這牌倘_別人私_造一個支了銀子__去怎_麽好鳳姐笑道依你說都沒王法了寶玉因道 ||| Khi ấy, Giả Dung đến, mọi người đều ngơ ngác, không biết nên đứng ngồi ra sao. Phượng Thư liền cười bảo: "Bà cứ ngồi yên, đây là cháu ta cả."
怎麽俗們家沒人來領牌子支東西鳳姐道__他們來領的時_刻你還做夢呢我且問你你們多早晚纔念夜書呢寶玉道巴不得今日就念 ||| Sao lũ người nhà quê kia không ai đến lĩnh thẻ và đồ đạc? Phượng Thư đáp: "Họ đến lĩnh thì chắc gì cô còn thức giấc. Để tôi hỏi cô xem, các cô bao giờ mới học đêm?" Bảo Ngọc đáp: "Tôi chỉ mong hôm nay được học ngay."
____________縐好__只是他們不快給收拾_書房__也_是沒法兒鳳姐笑道你請我_請兒包管就快了寶玉道你__也不中用他們該_做到那_裏的時刻自然_有__________________________________________________________________________ ||| Chà, cũng phải thôi, chẳng qua nhờ tiếng ông cha làm một chức quan nhỏ, chứ giàu có gì, chỉ là cái vỏ rỗng mà thôi.
收拾鳳姐道我乏的身上生痛還攔的住你這麻揉搓你放心罷今__兒纔領了_裱糊紙去了他們該要的還等叫去呢可不保了寶玉不信 ||| Phượng Thư gạt tro, miệng thong thả nói: "Sao mãi không mời người ta lên?" Vừa ngẩng lên uống nước thì thấy bà Chu dẫn hai người đứng ở dưới đất.
____鳳姐便叫彩明杳册子___給他看_正鬧着人來回蘇州去的_昭_兒來了鳳姐急命_叫進來昭兒打千兒請安鳳姐便問回來做什麽昭兒道二 ||| Phượng Thư liền sai Thái Minh lấy sổ sách ra xem, đang lúc ồn ào thì có người báo tin người nhà ở Tô Châu về đến. Phượng Thư vội cho gọi vào, người đó dập đầu bái kiến, Phượng Thư liền hỏi về việc.
爺打發回來的林姑老爺是九月初三_巳時沒的二爺帶了林姑娘同送林姑老爺的靈到蘇州大約_趕年底_回來二爺打發奴才來報個 ||| Nghe nói, lão gia nhà ta phái người đưa linh cữu của Lâm cô gia về quê vào ngày mồng ba tháng chín, giờ Tỵ. Nhị gia đã cùng Lâm cô nương đưa linh cữu của Lâm cô gia về tận Tô Châu. Chắc cũng phải đến cuối năm mới trở về. Nhị gia sai người nhà về báo tin trước.
_________信兒請安討老太太的示下還瞧瞧奶奶家_裏好叫把大毛衣_裳帶_幾件去鳳姐道你見過別人了沒有昭兒道都見過了說畢連忙退出 ||| Người nhà vội đến thưa, xin phép bà lão cho người đi thăm hỏi các bà, các cô, lại xin mang vài bộ áo lông dày dặn. Phượng Thư nói: "Ngươi đã gặp ai chưa?". Người kia đáp: "Đã gặp hết rồi ạ", nói xong vội lui ra.
鳳姐向寶玉笑道你林妹妹可在_偕們家住長了寶玉道了不得想來這_幾日他不知哭的怎麽樣呢說着蹙眉長歎鳳姐見昭兒回來因 ||| Phượng Thư quay sang Bảo Ngọc cười nói: "Em gái Lâm của con ở nhà các con lâu rồi nhỉ?" Bảo Ngọc đáp: "Chết mất thôi, nghĩ đến mấy ngày nay không biết nàng khóc lóc ra sao rồi!" Nói rồi chau mày thở dài. Phượng Thư thấy Chiêu Nhi trở về liền hỏi:
當着人不及細問賈璉心中七上八下待要回去奈事未畢少不得耐到晚上回來____又叫進昭兒來細問一路平安__連夜打點大毛衣服和 ||| Khi ấy, Giả Liễn trong lòng bồn chồn lo lắng, muốn quay về ngay nhưng công việc chưa xong, đành phải nhẫn nại đến tối mới về. Vừa về đến nhà, chàng liền cho gọi Chiêu Nhi vào để hỏi han cặn kẽ về chuyến đi, mọi việc có được bình an không. Sau đó, chàng vội vàng sai người chuẩn bị áo lông dày và các vật dụng cần thiết.
平兒親自檢點收拾再細細追想所需何物一並包裹交給昭兒又細細兒的吩咐昭兒在外好生小心些伏侍別惹你二行生氣時常勸 ||| Bình Nhi đích thân kiểm điểm, thu xếp đồ đạc, rồi cẩn thận nghĩ lại xem còn thiếu thứ gì, gói ghém tất cả giao cho Chiêu Nhi, lại dặn dò cặn kẽ Chiêu Nhi ở ngoài phải hết sức cẩn thận, hầu hạ cho chu đáo, đừng để Nhị gia nổi giận, thường xuyên khuyên can.
繪圖紅樓夢卷一第十四回 ||| Bức họa Hồng Lâu Mộng, quyển một, hồi thứ mười bốn.
六七 ||| Chữ này không có trong đoạn dịch được cung cấp.
六^ ||| Chợt nghe tiếng cười khúc khích, một giọng nói vang lên.
繪国紅樓夢卷一第十四回 ||| Quyển thứ nhất của Hồng Lâu Mộng, hồi thứ mười bốn.
______因此忙的鳳姐茶飯______無心坐臥不___甯到了甯府裏這邊榮府的人跟着回到榮府裏那邊甯府的人又跟着鳳姐雖然如此之忙只因素心 ||| Vì vậy, Phượng Thư bận rộn đến nỗi trà nước cũng chẳng màng, lòng dạ rối bời, vừa đến phủ Ninh thì người nhà bên phủ Vinh cũng theo về, người phủ Ninh lại theo Phượng Thư. Dù bận rộn như vậy, tất cả cũng chỉ vì một mối tâm sự.
_好勝惟恐落人褒貶故費盡精神籌晝的十分整齊於是合族中上下無不稱歎這日伴宿之夕親朋滿座尤氏猶臥於内室一切强羅款 ||| Vốn tính hiếu thắng, lại sợ người chê bai, nên Phượng Thư đã dốc hết tâm trí để chuẩn bị mọi việc thật chu đáo, khiến cả nhà trên dưới đều phải khen ngợi. Hôm đó, vào buổi tối trước khi đi ngủ, khách khứa đầy nhà, còn U thị vẫn nằm trong khuê phòng, mọi việc đều phải cố gắng thu xếp.
顯得鳳姐酒爽風流典則俊雅眞是萬綠叢中一點红了那裏還把衆人放在眼美揮霍指示任其所爲那一夜中燈明火彩客送官迎百 ||| Phượng Thư quả là người phong lưu, phóng khoáng, lại thêm vẻ đẹp đẽ, kiều diễm, thật chẳng khác nào một đóa hồng giữa rừng hoa xanh, khiến ai nấy đều phải ngước nhìn. Nàng ta lại còn vung tay quá trán, muốn gì được nấy, đêm đó đèn đuốc sáng trưng, khách khứa ra vào tấp nập.
般熱開自不用說至天明吉時__一般六十四名青衣請靈前面銘旌上大書__________誥封一等_甯國公冢孫婦防護内廷紫禁道御前侍衛龍禁_享___________ ||| Khi ấy, việc chuẩn bị cho tang lễ đã xong xuôi, không cần phải bàn thêm nữa. Đến giờ lành ngày hôm sau, sáu mươi tư người mặc áo xanh đến thỉnh linh cữu. Trên tấm biển hiệu viết rõ: "Cáo phong nhất đẳng Ninh Quốc công trủng tôn phụ, phòng hộ nội đình Tử Cấm đạo ngự tiền thị vệ Long Cấm, hưởng..."
受強壽賈門秦氏宜人之靈柩一應執事陳設皆係現__趕新做出來的一色光_彩奪目寶珠自行未嫁女之禮搐喪駕靈十分哀苦那時官 ||| Nay hay tin linh cữu của Tần thị, người con dâu hiền thục của Giả phủ, mọi sự chấp sự, đồ tế lễ đều là đồ mới làm, một màu rực rỡ, châu ngọc sáng ngời, lại theo đúng lễ nghi của một người con gái chưa chồng mà qua đời, thật là vô cùng thương xót.
___客送殯的有鎖國公牛清之孫現襲一等伯牛繼宗理國公柳彪之孫現襲一等子柳芳齊國公陳翼之孫世襲三品威鎭將軍陳瑞文治___________________________________________________ ||| Khách đưa tang có con cháu của Tỏa Quốc Công là Ngưu Thanh, hiện nay là người thừa tước Nhất đẳng Bá Ngưu Kế Tông; con cháu của Lý Quốc Công là Liễu Bưu, hiện nay là người thừa tước Nhất đẳng Tử Liễu Phương; con cháu của Tề Quốc Công là Trần Dực, thế tập Tam phẩm Uy Trấn Tướng Quân Trần Thụy Văn.
________________________________________________________國公馬魁之孫世襲三品威遠將軍馬尙德修國公侯曉明之孫世襲一等子侯孝康繕國公誥命亡_故其孫石光珠守孝不__得來這六家 ||| Quốc công Mã Khuê có người cháu đích tôn là Mã Thượng Đức, được thế tập tước Tam phẩm Uy Viễn tướng quân. Hầu tước Hầu Hiểu Minh có cháu đích tôn là Hầu Hiếu Khang, được thế tập tước Nhất đẳng Tử tước. Quốc công cáo mệnh đã mất, nên cháu đích tôn là Thạch Quang Châu phải để tang, không thể đến sáu nhà này được.
_____與築寗二家當日所稱八公的便是餘者更有南安郡王之孫西_甯郡王之孫忠靖侯史鼎平原侯之孫世襲二等男蔣子_甯定城_______________________________甯之孫_______ ||| Ngày trước, hai nhà họ Dư và họ Chúc cùng làm quan, nên mới có mối giao hảo. Mấy năm nay, họ không còn qua lại nữa. Mỗi lần họ đến, đều có quà cáp mang về.
____色執事陳設______接連一帶擺了有三四里遠走不多時路_上彩棚高搭設席張筵和音奏樂俱是各家路祭第一棚是東平郡王府的祭第二 ||| Sắc phục chỉnh tề, bày biện đâu ra đấy, trải dài suốt ba bốn dặm đường. Đi chưa được bao lâu, trên đường đã thấy rạp màu dựng cao, bày tiệc trải bàn, tiếng nhạc vang lừng, đều là các nhà làm lễ tế đường. Rạp đầu tiên là của Đông Bình Quận Vương phủ, rạp thứ hai...
棚前落轎手下各官兩旁擁侍軍民人衆不得往還一時只見_甯府大殯浩浩蕩蕩壓地銀山一般從北而至早有甯府開路傳事人報與 ||| Xe vừa dừng trước cổng, người khiêng kiệu và các quan hầu cận hai bên vây quanh, quân dân không được qua lại. Trong chốc lát, chỉ thấy đám tang lớn của phủ Ninh, như một ngọn núi bạc từ phía bắc kéo đến, người phủ Ninh đã sớm phái người đi báo tin.
賈珍賈珍急命前面_執事扎住同賈赦賈政三人連忙迎上來以國禮相見北靜王轎内欠身合笑答禮仍以世交稱呼接待並且不自大 ||| Giả Trân vội vã sai người hầu cận ra đón tiếp, cùng Giả Xá, Giả Chính ba người vội vàng nghênh đón, thi lễ quốc gia. Bắc Tĩnh Vương trong kiệu hơi cúi người, mỉm cười đáp lễ, vẫn xưng hô thế giao, tiếp đãi ân cần, không hề tỏ vẻ tự cao.
賈珍道犬婦之喪累蒙郡駕下臨廕生輩何以克當__北静王笑道世交_至誼何出此言遂回頭令長府官主祭代奠賈赦等一旁還禮復親 ||| Giả Trân than rằng, tang sự của vợ mình, thật là nhờ ơn đức của Quận vương hạ cố đến viếng, kẻ hèn này thật không dám nhận. Bắc Tĩnh Vương cười đáp, thế gia giao hảo, tình nghĩa thâm giao, sao lại nói lời này, bèn quay đầu bảo quan phủ chủ tế thay mình làm lễ, Giả Xá cùng mọi người đứng một bên đáp lễ.
__身來謝北靜王十分謙遜因問賈政道那一位是__啣玉而誕者久欲一見爲快今日一定在此何不請來賈政忙退下來命窗玉更衣領他 ||| Bắc Tĩnh Vương đến, thân hành tạ lễ, vô cùng khiêm cung, bèn hỏi Giả Chính rằng: "Vị nào là người ngậm ngọc mà sinh ra, đã lâu mong được gặp mặt, hôm nay nhất định có mặt ở đây, sao không mời ra cho ta được chiêm ngưỡng?" Giả Chính vội lui xuống, sai người hầu thay y phục cho Bảo Ngọc rồi dẫn ra.
前來謁見那寶王素聞北靜王的賢德且才貌俱全風流跌宕不爲官俗國體所縛每思相會只是父親拘束不克如願今見反來明他自 ||| Nghe danh Bắc Tĩnh Vương hiền đức, tài mạo song toàn, phong lưu phóng khoáng, không bị ràng buộc bởi lễ nghi quan trường. Bấy lâu nay vẫn mong có dịp tương hội, nhưng vì phụ thân quản thúc nên chưa thể toại nguyện. Nay thấy người tự đến, thật là ngoài mong đợi.
是喜瞢一面走一面_警見那__北靜王坐在轎内好個儀表__不知近前又是怎樣且看下回分解 ||| Bấy giờ, mọi người đều hớn hở, vừa đi vừa ngắm nghía. Bỗng thấy Bắc Tĩnh Vương ngồi trong kiệu, phong thái thật là uy nghi. Không biết khi đến gần sẽ ra sao, xin xem hồi sau sẽ rõ.
第十五囘王鳳姐弄權鐵檻寺秦鯨卿得趣饅頭庵_________________________________________________________ ||| Hồi thứ mười lăm, Vương Phượng Thư lộng quyền ở Thiết Giám tự, Tần Chung được vui ở Màn Thầu am.
____________________話說寶玉舉目見北靜王__世榮頭上戴着_淨自簪纓銀翅王帽穿着江牙海水五爪_龍白蟒袍_繫着碧玉红维帶面如美玉目似明星眞好____ ||| Lại nói, Bảo Ngọc ngước mắt nhìn, thấy Bắc Tĩnh Vương Thế Vinh đầu đội mũ cánh chuồn bạc, cài trâm ngọc, mặc áo bào trắng thêu rồng năm móng, thắt đai ngọc bích, mặt như ngọc, mắt sáng như sao, thật là một trang tuấn tú.
秀麗人物寶玉忙搶上來參見____世榮從轎内伸_手__攙住見_订玉戴若束_髮銀冠勒着雙龍出海林額穿着白蟒箭袖圍着_批珠銀帶面若春_____ ||| Bấy giờ, Bảo Ngọc tuấn tú, vội vàng tiến lên nghênh đón, chắp tay thi lễ. Thế Vinh từ trong kiệu đưa tay ra đỡ lấy, thấy Bảo Ngọc đầu đội ngân quan hai rồng chầu ngọc, tóc cài trâm, trán đeo dải bạch mãng, áo bào thêu kim tuyến, mặt tựa hoa đào.
__花目如點漆北静王笑道名不虚售果然如寶似玉_問_啣的那寶貝在那_築寶玉見問連忙德衣内取出遞與北静王細細看了又念了那 ||| Hoa mắt như điểm sơn, Bắc Tĩnh Vương cười nói: 'Danh bất hư truyền, quả nhiên như bảo tựa ngọc'. Hỏi: 'Ngọc ngậm trong miệng đâu?' Bảo Ngọc nghe hỏi vội vàng lấy từ trong áo ra đưa cho Bắc Tĩnh Vương xem kỹ, lại niệm bài minh trên ngọc.
___________上頭的字因問果靈驗否賈政忙道雖如此說只是未售試過__北靜王一面_極口稱奇__一面理___順綵縧親自_與寳玉帶上又攜手問寳玉_____幾 ||| Trên đầu có chữ hỏi có linh nghiệm không, Giả Chính vội đáp tuy nói vậy nhưng chưa từng thử qua. Bắc Tĩnh Vương một mặt hết lời khen ngợi, một mặt chỉnh lại dải lụa rồi tự tay đeo cho Bảo Ngọc, lại nắm tay hỏi han Bảo Ngọc mấy lời.
清於老鳳腔未可諒也賈政陪笑道犬子豈敢謬承金獎賴落郡餘恩果如所言亦膜生淮之幸矣北靜王文道只是一件令郎如此資質 ||| Thật là không thể tha thứ được cái giọng điệu của lão già Phượng này! Giả Chính cười đáp: "Con trai tôi đâu dám nhận lời khen quá đáng như vậy, chỉ nhờ ơn mưa móc của quận vương mà thôi, nếu quả đúng như lời ngài nói thì thật là phúc lớn cho dòng họ Giả chúng tôi. Bắc Tĩnh Vương ôn tồn nói: "Chỉ có điều là lệnh lang tư chất như vậy...
馬鳳姐_因店記_若寶玉怕他在效外縱性__不服家人的話賈政管不着____惟恐有__閃____失因此_命小麻來唤他寶玉只得到他車前鳳姐笑道好 ||| Mụ Phượng vì lo Bảo Ngọc ham chơi bên ngoài, không nghe lời người nhà, sợ Giả Chính quở trách, lại sợ có điều gì sơ suất nên sai tiểu ma đến gọi. Bảo Ngọc đành phải đến trước xe của mụ, mụ cười nói: "Tốt lắm!"
